mode,reader,batch_size,sample_index,t_rel_s,frame_index,occupancy
instrument,False,0,0,6.858865,0,0
instrument,False,0,1,6.960057,0,0
instrument,False,0,2,7.050016,0,0
instrument,False,0,3,7.109966,0,0
instrument,False,0,4,7.193132,0,0
instrument,False,0,5,7.275792,0,0
instrument,False,0,6,7.351481,0,0
instrument,False,0,7,7.409922,0,0
instrument,False,0,8,7.556349,0,0
instrument,False,0,9,7.670781,0,0
instrument,False,0,10,7.725114,0,0
instrument,False,0,11,7.800212,0,0
instrument,False,0,12,7.88988,0,0
instrument,False,0,13,7.965006,0,0
instrument,False,0,14,8.088011,0,0
instrument,False,0,15,8.144666,0,0
instrument,False,0,16,8.204696,0,0
instrument,False,0,17,8.264571,0,0
instrument,False,0,18,8.324583,0,0
instrument,False,0,19,8.384565,0,0
instrument,False,0,20,8.444546,0,0
instrument,False,0,21,8.504549,0,0
instrument,False,0,22,8.564539,0,0
instrument,False,0,23,8.624287,0,0
instrument,False,0,24,8.684297,0,0
instrument,False,0,25,8.744244,0,0
instrument,False,0,26,8.804229,0,0
instrument,False,0,27,8.864184,0,0
instrument,False,0,28,8.924139,0,0
instrument,False,0,29,8.984133,0,0
instrument,False,0,30,9.044061,0,0
instrument,False,0,31,9.104023,0,0
instrument,False,0,32,9.163984,0,0
instrument,False,0,33,9.223959,0,0
instrument,False,0,34,9.283962,0,0
instrument,False,0,35,9.344185,0,0
instrument,False,0,36,9.403896,0,0
instrument,False,0,37,9.46395,0,0
instrument,False,0,38,9.545786,0,0
instrument,False,0,39,9.659083,0,0
instrument,False,0,40,9.735534,0,0
instrument,False,0,41,9.793835,0,0
instrument,False,0,42,9.853794,0,0
instrument,False,0,43,9.913669,0,0
instrument,False,0,44,9.973346,0,0
instrument,False,0,45,10.033261,0,0
instrument,False,0,46,10.09326,0,0
instrument,False,0,47,10.153257,1,0
instrument,False,0,48,10.213302,1,0
instrument,False,0,49,10.274182,1,0
instrument,False,0,50,10.333145,2,0
instrument,False,0,51,10.393075,2,0
instrument,False,0,52,10.453479,2,0
instrument,False,0,53,10.51309,3,0
instrument,False,0,54,10.573011,3,0
instrument,False,0,55,10.633012,3,0
instrument,False,0,56,10.768072,4,0
instrument,False,0,57,10.827867,4,0
instrument,False,0,58,10.887871,5,0
instrument,False,0,59,10.947839,5,0
instrument,False,0,60,11.007777,5,0
instrument,False,0,61,11.067752,6,0
instrument,False,0,62,11.127708,6,0
instrument,False,0,63,11.18801,6,0
instrument,False,0,64,11.247624,7,0
instrument,False,0,65,11.307752,7,0
instrument,False,0,66,11.367613,7,0
instrument,False,0,67,11.427594,8,0
instrument,False,0,68,11.487537,8,0
instrument,False,0,69,11.547483,8,0
instrument,False,0,70,11.607455,9,0
instrument,False,0,71,11.667427,9,0
instrument,False,0,72,11.728293,9,0
instrument,False,0,73,11.78735,10,0
instrument,False,0,74,11.847287,10,0
instrument,False,0,75,11.907275,10,0
instrument,False,0,76,11.967267,11,0
instrument,False,0,77,12.027213,11,0
instrument,False,0,78,12.087206,11,0
instrument,False,0,79,12.147181,12,0
instrument,False,0,80,12.229265,12,0
instrument,False,0,81,12.282036,12,0
instrument,False,0,82,12.341987,13,0
instrument,False,0,83,12.402009,13,0
instrument,False,0,84,12.462002,13,0
instrument,False,0,85,12.522216,14,0
instrument,False,0,86,12.597983,14,0
instrument,False,0,87,12.660114,14,0
instrument,False,0,88,12.716874,15,0
instrument,False,0,89,12.78782,15,0
instrument,False,0,90,12.851713,15,0
instrument,False,0,91,12.911674,16,0
instrument,False,0,92,12.986608,16,0
instrument,False,0,93,13.046653,16,0
instrument,False,0,94,13.106791,17,0
instrument,False,0,95,13.166571,17,0
instrument,False,0,96,13.227106,17,0
instrument,False,0,97,13.288267,18,0
instrument,False,0,98,13.451375,19,0
instrument,False,0,99,13.511297,19,0
instrument,False,0,100,13.571338,19,0
instrument,False,0,101,13.631284,20,0
instrument,False,0,102,13.694469,20,0
instrument,False,0,103,13.751175,20,0
instrument,False,0,104,13.813867,21,0
instrument,False,0,105,13.871116,21,0
instrument,False,0,106,13.931047,21,0
instrument,False,0,107,13.991172,22,0
instrument,False,0,108,14.051112,22,0
instrument,False,0,109,14.115065,22,0
instrument,False,0,110,14.171076,23,0
instrument,False,0,111,14.231027,23,0
instrument,False,0,112,14.290952,23,0
instrument,False,0,113,14.353064,24,0
instrument,False,0,114,14.411107,24,0
instrument,False,0,115,14.471434,24,0
instrument,False,0,116,14.531495,24,0
instrument,False,0,117,14.591525,25,0
instrument,False,0,118,14.651582,25,0
instrument,False,0,119,14.711381,25,0
instrument,False,0,120,14.771394,25,0
instrument,False,0,121,14.921326,27,0
instrument,False,0,122,14.982247,27,0
instrument,False,0,123,15.041283,27,0
instrument,False,0,124,15.101666,28,0
instrument,False,0,125,15.16126,28,0
instrument,False,0,126,15.221235,28,0
instrument,False,0,127,15.281196,29,0
instrument,False,0,128,15.341311,29,0
instrument,False,0,129,15.401191,29,0
instrument,False,0,130,15.462677,30,0
instrument,False,0,131,15.521064,30,0
instrument,False,0,132,15.580937,30,0
instrument,False,0,133,15.640902,30,0
instrument,False,0,134,15.70098,31,0
instrument,False,0,135,15.760915,31,0
instrument,False,0,136,15.820866,31,0
instrument,False,0,137,15.881321,32,0
instrument,False,0,138,15.94094,32,0
instrument,False,0,139,16.000985,32,0
instrument,False,0,140,16.060873,33,0
instrument,False,0,141,16.120843,33,0
instrument,False,0,142,16.180754,33,0
instrument,False,0,143,16.240744,34,0
instrument,False,0,144,16.301064,34,0
instrument,False,0,145,16.360963,34,0
instrument,False,0,146,16.428102,35,0
instrument,False,0,147,16.480718,35,0
instrument,False,0,148,16.540484,35,0
instrument,False,0,149,16.60056,36,0
