mode,reader,batch_size,sample_index,t_rel_s,frame_index,occupancy
instrument,False,0,0,5.669357,0,0
instrument,False,0,1,5.795753,0,0
instrument,False,0,2,5.872793,0,0
instrument,False,0,3,5.933196,0,0
instrument,False,0,4,6.024305,0,0
instrument,False,0,5,6.099985,0,0
instrument,False,0,6,6.211533,0,0
instrument,False,0,7,6.293401,0,0
instrument,False,0,8,6.383187,0,0
instrument,False,0,9,6.473029,0,0
instrument,False,0,10,6.563114,0,0
instrument,False,0,11,6.638225,0,0
instrument,False,0,12,6.698198,0,0
instrument,False,0,13,6.757897,0,0
instrument,False,0,14,6.81784,0,0
instrument,False,0,15,6.877844,0,0
instrument,False,0,16,6.9378,0,0
instrument,False,0,17,6.998006,0,0
instrument,False,0,18,7.057697,0,0
instrument,False,0,19,7.128724,0,0
instrument,False,0,20,7.192973,0,0
instrument,False,0,21,7.252918,0,0
instrument,False,0,22,7.312606,0,0
instrument,False,0,23,7.372591,0,0
instrument,False,0,24,7.43252,0,0
instrument,False,0,25,7.492497,0,0
instrument,False,0,26,7.552464,0,0
instrument,False,0,27,7.618713,0,0
instrument,False,0,28,7.736761,0,0
instrument,False,0,29,7.792875,0,0
instrument,False,0,30,7.860889,0,0
instrument,False,0,31,7.91281,1,0
instrument,False,0,32,7.973204,1,0
instrument,False,0,33,8.032786,2,0
instrument,False,0,34,8.092696,3,0
instrument,False,0,35,8.152657,3,0
instrument,False,0,36,8.212648,4,0
instrument,False,0,37,8.273118,4,0
instrument,False,0,38,8.332612,5,0
instrument,False,0,39,8.395725,6,0
instrument,False,0,40,8.467475,6,0
instrument,False,0,41,8.542473,7,0
instrument,False,0,42,8.602433,8,0
instrument,False,0,43,8.662511,8,0
instrument,False,0,44,8.722426,9,0
instrument,False,0,45,8.782435,9,0
instrument,False,0,46,8.842344,10,0
instrument,False,0,47,8.902659,11,0
instrument,False,0,48,8.962326,11,0
instrument,False,0,49,9.023233,12,0
instrument,False,0,50,9.082255,12,0
instrument,False,0,51,9.157151,13,0
instrument,False,0,52,9.217189,14,0
instrument,False,0,53,9.277189,14,0
instrument,False,0,54,9.337113,15,0
instrument,False,0,55,9.397099,16,0
instrument,False,0,56,9.457002,16,0
instrument,False,0,57,9.516967,17,0
instrument,False,0,58,9.576949,17,0
instrument,False,0,59,9.637024,18,0
instrument,False,0,60,9.69686,19,0
instrument,False,0,61,9.757033,19,0
instrument,False,0,62,9.816901,20,0
instrument,False,0,63,9.877243,20,0
instrument,False,0,64,9.936817,21,0
instrument,False,0,65,9.997665,22,0
instrument,False,0,66,10.056751,22,0
instrument,False,0,67,10.116752,23,0
instrument,False,0,68,10.176683,23,0
instrument,False,0,69,10.236648,24,0
instrument,False,0,70,10.296622,25,0
instrument,False,0,71,10.356592,25,0
instrument,False,0,72,10.416597,26,0
instrument,False,0,73,10.476598,26,0
instrument,False,0,74,10.536483,27,0
instrument,False,0,75,10.596579,28,0
instrument,False,0,76,10.65647,28,0
instrument,False,0,77,10.716121,29,0
instrument,False,0,78,10.776045,29,0
instrument,False,0,79,10.836275,30,0
instrument,False,0,80,10.898835,31,0
instrument,False,0,81,10.956047,31,0
instrument,False,0,82,11.01597,31,0
instrument,False,0,83,11.135796,33,0
instrument,False,0,84,11.195762,34,0
instrument,False,0,85,11.25578,34,0
instrument,False,0,86,11.315675,35,0
instrument,False,0,87,11.375833,35,0
instrument,False,0,88,11.435667,36,0
instrument,False,0,89,11.4962,37,0
instrument,False,0,90,11.555683,37,0
instrument,False,0,91,11.61565,38,0
instrument,False,0,92,11.675532,38,0
instrument,False,0,93,11.735518,39,0
instrument,False,0,94,11.79594,40,0
instrument,False,0,95,11.85547,40,0
instrument,False,0,96,11.915461,41,0
instrument,False,0,97,11.975415,41,0
instrument,False,0,98,12.035336,42,0
instrument,False,0,99,12.097815,43,0
instrument,False,0,100,12.15532,43,0
instrument,False,0,101,12.215242,44,0
instrument,False,0,102,12.275275,44,0
instrument,False,0,103,12.336405,45,0
instrument,False,0,104,12.395151,46,0
instrument,False,0,105,12.455163,46,0
instrument,False,0,106,12.515409,47,0
instrument,False,0,107,12.575107,47,0
instrument,False,0,108,12.635042,48,0
instrument,False,0,109,12.696104,49,0
instrument,False,0,110,12.754938,49,0
instrument,False,0,111,12.81535,50,0
instrument,False,0,112,12.875044,50,0
instrument,False,0,113,12.935069,51,0
instrument,False,0,114,12.994826,52,0
instrument,False,0,115,13.054834,52,0
instrument,False,0,116,13.114779,53,0
instrument,False,0,117,13.174774,53,0
instrument,False,0,118,13.234726,54,0
instrument,False,0,119,13.296017,54,0
instrument,False,0,120,13.354619,55,0
instrument,False,0,121,13.414701,56,0
instrument,False,0,122,13.474649,56,0
instrument,False,0,123,13.534577,57,0
instrument,False,0,124,13.59453,58,0
instrument,False,0,125,13.654511,58,0
instrument,False,0,126,13.71446,59,0
instrument,False,0,127,13.774402,59,0
instrument,False,0,128,13.834376,60,0
instrument,False,0,129,13.894437,61,0
instrument,False,0,130,13.954581,61,0
instrument,False,0,131,14.014296,62,0
instrument,False,0,132,14.074323,62,0
instrument,False,0,133,14.134314,63,0
instrument,False,0,134,14.194233,63,0
instrument,False,0,135,14.254224,64,0
instrument,False,0,136,14.314164,65,0
instrument,False,0,137,14.374231,65,0
instrument,False,0,138,14.434124,66,0
instrument,False,0,139,14.494127,66,0
instrument,False,0,140,14.554282,67,1
instrument,False,0,141,14.779164,69,0
instrument,False,0,142,14.838879,70,0
instrument,False,0,143,14.898865,71,0
instrument,False,0,144,14.958953,71,0
instrument,False,0,145,15.02671,72,0
instrument,False,0,146,15.078721,72,0
instrument,False,0,147,15.138698,73,0
instrument,False,0,148,15.20359,74,0
instrument,False,0,149,15.258666,74,0
instrument,False,0,150,15.318646,75,0
instrument,False,0,151,15.37856,75,0
instrument,False,0,152,15.438384,76,0
instrument,False,0,153,15.498878,77,0
instrument,False,0,154,15.558408,77,0
instrument,False,0,155,15.627281,78,0
instrument,False,0,156,15.678286,78,0
instrument,False,0,157,15.738924,79,0
instrument,False,0,158,15.798799,80,0
instrument,False,0,159,15.859178,80,0
instrument,False,0,160,15.918779,81,0
instrument,False,0,161,15.979053,81,0
instrument,False,0,162,16.03873,82,0
instrument,False,0,163,16.099017,83,0
instrument,False,0,164,16.159566,83,0
instrument,False,0,165,16.2186,84,0
instrument,False,0,166,16.278737,84,0
instrument,False,0,167,16.338744,85,0
instrument,False,0,168,16.398581,86,0
instrument,False,0,169,16.458472,86,0
instrument,False,0,170,16.518583,87,0
instrument,False,0,171,16.578389,87,0
instrument,False,0,172,16.638467,88,0
instrument,False,0,173,16.698431,88,0
instrument,False,0,174,16.848177,90,0
instrument,False,0,175,16.908175,91,0
instrument,False,0,176,16.968409,91,0
instrument,False,0,177,17.02817,92,0
instrument,False,0,178,17.088064,92,0
instrument,False,0,179,17.148105,93,0
instrument,False,0,180,17.208086,94,0
instrument,False,0,181,17.268013,94,0
instrument,False,0,182,17.328328,95,0
instrument,False,0,183,17.387945,95,0
instrument,False,0,184,17.447893,96,0
instrument,False,0,185,17.507907,97,0
instrument,False,0,186,17.567875,97,0
instrument,False,0,187,17.627837,98,0
instrument,False,0,188,17.687736,98,0
instrument,False,0,189,17.74772,99,0
instrument,False,0,190,17.807698,100,0
instrument,False,0,191,17.868217,100,0
instrument,False,0,192,17.927602,101,0
instrument,False,0,193,17.987701,101,0
instrument,False,0,194,18.062575,102,0
instrument,False,0,195,18.122519,103,0
instrument,False,0,196,18.182508,103,0
instrument,False,0,197,18.24245,104,0
instrument,False,0,198,18.302429,105,0
instrument,False,0,199,18.362416,105,0
instrument,False,0,200,18.423291,106,0
instrument,False,0,201,18.482403,106,0
instrument,False,0,202,18.542587,107,0
instrument,False,0,203,18.602238,108,0
instrument,False,0,204,18.662228,108,0
instrument,False,0,205,18.722463,109,0
instrument,False,0,206,18.782429,109,0
instrument,False,0,207,18.842133,110,0
instrument,False,0,208,18.903703,111,0
instrument,False,0,209,18.962115,111,0
instrument,False,0,210,19.022036,112,0
instrument,False,0,211,19.082053,112,0
instrument,False,0,212,19.142131,113,0
instrument,False,0,213,19.20382,113,0
instrument,False,0,214,19.262161,114,0
instrument,False,0,215,19.322002,115,0
instrument,False,0,216,19.381922,115,0
instrument,False,0,217,19.442124,116,0
instrument,False,0,218,19.504083,117,0
instrument,False,0,219,19.562075,117,0
instrument,False,0,220,19.622993,118,0
instrument,False,0,221,19.682315,118,0
instrument,False,0,222,19.742001,119,0
