mode,reader,batch_size,n_frames,frame_rate_hz,buffer_mb,buffer_frames,frame_bytes,frames_produced,frames_written,dropped_count,dropped_fraction,occupancy_peak,occupancy_mean,throughput_fps,duration_s
instrument,False,0,25000,10.0,10000.0,3950,2654208,25000,25000,0,0.0,7,0.0258,9.9623,2509.456244
instrument,True,1,25000,10.0,10000.0,3950,2654208,25000,25000,0,0.0,9,0.0264,9.9664,2508.416398
instrument,True,10,25000,10.0,10000.0,3950,2654208,25000,25000,0,0.0,6,0.0257,9.9616,2509.630034
instrument,True,100,25000,10.0,10000.0,3950,2654208,25000,25000,0,0.0,8,0.026,9.965,2508.790146
