mode,reader,batch_size,sample_index,t_rel_s,frame_index,occupancy
instrument,False,0,0,5.712055,0,0
instrument,False,0,1,5.842165,0,0
instrument,False,0,2,5.902939,0,0
instrument,False,0,3,5.969794,0,0
instrument,False,0,4,6.035973,0,0
instrument,False,0,5,6.095817,0,0
instrument,False,0,6,6.157075,0,0
instrument,False,0,7,6.275916,0,0
instrument,False,0,8,6.365667,0,0
instrument,False,0,9,6.485593,0,0
instrument,False,0,10,6.545539,0,0
instrument,False,0,11,6.606197,0,0
instrument,False,0,12,6.666321,0,0
instrument,False,0,13,6.72619,0,0
instrument,False,0,14,6.786206,0,0
instrument,False,0,15,6.846124,0,0
instrument,False,0,16,6.906229,0,0
instrument,False,0,17,6.9661,0,0
instrument,False,0,18,7.026168,0,0
instrument,False,0,19,7.086009,0,0
instrument,False,0,20,7.145982,0,0
instrument,False,0,21,7.220961,0,0
instrument,False,0,22,7.280898,0,0
instrument,False,0,23,7.340843,0,0
instrument,False,0,24,7.400809,0,0
instrument,False,0,25,7.47118,0,0
instrument,False,0,26,7.578724,0,0
instrument,False,0,27,7.640521,0,0
instrument,False,0,28,7.70046,0,1
instrument,False,0,29,7.760418,0,0
instrument,False,0,30,7.82037,1,0
instrument,False,0,31,7.880309,1,1
instrument,False,0,32,7.940252,1,1
instrument,False,0,33,8.000307,2,0
instrument,False,0,34,8.150874,5,1
instrument,False,0,35,8.360051,7,0
instrument,False,0,36,8.420425,8,0
instrument,False,0,37,8.485739,8,0
instrument,False,0,38,8.539948,9,0
instrument,False,0,39,8.59992,10,0
instrument,False,0,40,8.661364,10,0
instrument,False,0,41,8.71966,11,0
instrument,False,0,42,8.779542,11,0
instrument,False,0,43,8.839438,12,0
instrument,False,0,44,8.899462,13,0
instrument,False,0,45,8.959428,13,0
instrument,False,0,46,9.01945,14,0
instrument,False,0,47,9.079382,14,0
instrument,False,0,48,9.139348,15,0
instrument,False,0,49,9.199446,16,0
instrument,False,0,50,9.259339,16,0
instrument,False,0,51,9.319169,17,0
instrument,False,0,52,9.379204,17,0
instrument,False,0,53,9.439113,18,0
instrument,False,0,54,9.499106,19,0
instrument,False,0,55,9.559032,19,0
instrument,False,0,56,9.619066,20,0
instrument,False,0,57,9.678951,20,0
instrument,False,0,58,9.738973,21,0
instrument,False,0,59,9.799283,22,0
instrument,False,0,60,9.859138,22,0
instrument,False,0,61,9.918823,23,0
instrument,False,0,62,9.978796,23,0
instrument,False,0,63,10.038768,24,0
instrument,False,0,64,10.09884,25,0
instrument,False,0,65,10.158737,25,0
instrument,False,0,66,10.218663,26,0
instrument,False,0,67,10.278654,26,0
instrument,False,0,68,10.338655,27,0
instrument,False,0,69,10.39868,28,0
instrument,False,0,70,10.458636,28,0
instrument,False,0,71,10.51857,29,0
instrument,False,0,72,10.578454,29,0
instrument,False,0,73,10.640556,30,0
instrument,False,0,74,10.698596,31,0
